SCAT2D
BEGSET
NAME  "planar"
ID 17255
DELEV 0.0
IXY   5000
    4411      20.0000     176.0000
    4410      18.0000     176.0000
    4409      16.0000     176.0000
    4408      14.0000     176.0000
    4407      12.0000     176.0000
    4406      10.0000     176.0000
    4405       8.0000     176.0000
    4404       6.0000     176.0000
    4403       4.0000     176.0000
    4402       2.0000     176.0000
    4401       0.5000     176.0000
    4400      98.0000     174.0000
    4399      96.0000     174.0000
    4398      94.0000     174.0000
    4397      92.0000     174.0000
    4396      90.0000     174.0000
    4395      88.0000     174.0000
    4394      86.0000     174.0000
    4393      84.0000     174.0000
    4392      82.0000     174.0000
    4391      80.0000     174.0000
    4390      78.0000     174.0000
    4389      76.0000     174.0000
    4388      74.0000     174.0000
    4387      72.0000     174.0000
    4386      70.0000     174.0000
    4385      68.0000     174.0000
    4384      66.0000     174.0000
    4383      64.0000     174.0000
    4382      62.0000     174.0000
    4381      60.0000     174.0000
    4380      58.0000     174.0000
    4379      56.0000     174.0000
    4378      54.0000     174.0000
    4377      52.0000     174.0000
    4376      50.0000     174.0000
    4375      48.0000     174.0000
    4374      46.0000     174.0000
    4373      44.0000     174.0000
    4372      42.0000     174.0000
    4371      40.0000     174.0000
    4370      38.0000     174.0000
    4369      36.0000     174.0000
    4368      34.0000     174.0000
    4367      32.0000     174.0000
    4366      30.0000     174.0000
    4365      28.0000     174.0000
    4364      26.0000     174.0000
    4363      24.0000     174.0000
    4362      22.0000     174.0000
    4361      20.0000     174.0000
    4360      18.0000     174.0000
    4359      16.0000     174.0000
    4358      14.0000     174.0000
    4357      12.0000     174.0000
    4356      10.0000     174.0000
    4355       8.0000     174.0000
    4354       6.0000     174.0000
    4353       4.0000     174.0000
    4352       2.0000     174.0000
    4351       0.5000     174.0000
    4350      98.0000     172.0000
    4349      96.0000     172.0000
    4348      94.0000     172.0000
    4347      92.0000     172.0000
    4346      90.0000     172.0000
    4345      88.0000     172.0000
    4344      86.0000     172.0000
    4343      84.0000     172.0000
    4342      82.0000     172.0000
    4341      80.0000     172.0000
    4340      78.0000     172.0000
    4339      76.0000     172.0000
    4338      74.0000     172.0000
    4337      72.0000     172.0000
    4336      70.0000     172.0000
    4335      68.0000     172.0000
    4334      66.0000     172.0000
    4333      64.0000     172.0000
    4332      62.0000     172.0000
    4331      60.0000     172.0000
    4330      58.0000     172.0000
    4329      56.0000     172.0000
    4328      54.0000     172.0000
    4327      52.0000     172.0000
    4326      50.0000     172.0000
    4325      48.0000     172.0000
    4324      46.0000     172.0000
    4323      44.0000     172.0000
    4322      42.0000     172.0000
